,0,1,2,3,4,5,6
0,2022-12-30,238.21,239.96,236.66,239.82,239.216008888889,21938472.0
1,2022-12-29,235.65,241.92,235.65,241.01,240.403011851852,19770693.0
2,2022-12-28,236.89,239.72,234.17,234.53,233.939331851852,17457104.0
3,2022-12-27,238.7,238.93,235.83,236.96,236.363211851852,16688648.0
4,2022-12-23,236.11,238.87,233.9428,238.73,238.128754074074,21206982.0
5,2022-12-22,241.255,241.99,233.87,238.19,237.590114074074,28651664.0
6,2022-12-21,241.69,245.615,240.11,244.43,243.814398518519,23690607.0
7,2022-12-20,239.4,242.91,238.42,241.8,241.191022222222,25150802.0
8,2022-12-19,244.86,245.21,238.71,240.45,239.844422222222,29696436.0
9,2022-12-16,248.55,249.84,243.51,244.69,244.073743703704,86101994.0
10,2022-12-15,253.72,254.2,247.34,249.01,248.382863703704,35568093.0
11,2022-12-14,257.13,262.588,254.31,257.22,256.572186666667,35410933.0
12,2022-12-13,261.69,263.915,253.07,256.92,256.272942222222,42196884.0
13,2022-12-12,247.445,252.54,247.17,252.51,251.874048888889,30665069.0
14,2022-12-09,244.695,248.31,244.16,245.42,244.801905185185,20609743.0
15,2022-12-08,244.84,248.74,243.06,247.4,246.776918518518,22611757.0
16,2022-12-07,244.83,246.16,242.205,244.37,243.75454962963,20481522.0
17,2022-12-06,250.82,251.86,243.78,245.12,244.502660740741,22463727.0
18,2022-12-05,252.01,253.819,248.06,250.2,249.569866666667,23435294.0
19,2022-12-02,249.82,256.06,249.69,255.02,254.377727407407,21528520.0
20,2022-12-01,253.87,256.12,250.9156,254.69,254.048558518518,26041524.0
21,2022-11-30,240.57,255.33,239.86,255.14,254.497425185185,47594239.0
22,2022-11-29,241.4,242.79,238.21,240.33,239.724724444444,17956313.0
23,2022-11-28,246.08,246.65,240.8,241.76,241.151122962963,24810271.0
24,2022-11-25,247.31,248.7,246.73,247.49,246.866691851852,9200772.0
25,2022-11-23,245.105,248.28,244.27,247.58,246.956465185185,19508462.0
26,2022-11-22,243.59,245.31,240.71,245.03,244.412887407407,19665699.0
27,2022-11-21,241.43,244.67,241.19,242.05,241.440392592593,26394700.0
28,2022-11-18,243.51,243.74,239.03,241.22,240.612482962963,27613523.0
29,2022-11-17,237.78,243.25,237.63,241.68,241.071324444444,23123544.0
30,2022-11-16,242.79,243.8,240.42,241.73,241.121198518518,24093272.0
31,2022-11-15,245.66,247.0,240.03,241.97,240.683537830642,31390117.0
32,2022-11-14,241.985,243.91,239.21,241.55,240.265770810396,31123340.0
33,2022-11-11,242.99,247.99,241.93,247.11,245.796210411745,34620246.0
34,2022-11-10,235.43,243.33,235.0,242.98,241.688168045995,46268021.0
35,2022-11-09,227.37,228.6327,224.33,224.51,223.316365988996,27852910.0
36,2022-11-08,228.7,231.65,225.84,228.87,227.6531855325,28192548.0
37,2022-11-07,221.99,228.41,221.28,227.87,226.658502150962,33497979.0
38,2022-11-04,217.55,221.59,213.431,221.39,220.212953838599,36789063.0
39,2022-11-03,220.09,220.41,213.98,214.25,213.110914494421,36633922.0
